date_added,company,title,region,source,url,score,status,next_action,notes
2026-09-20,Happyrobot.ai,Creative Director,remote_global,recherche web,https://jobs.ashbyhq.com/happyrobot.ai/f843168b-462f-4db0-8e9f-54645100eae5,,poste identifié — à qualifier,,"Poste confirmé trouvé via recherche web, à vérifier en détail avant candidature."
2026-09-20,Wallbit,Creative Director,remote_global,recherche web,https://jobs.ashbyhq.com/wallbit/3afadf04-b02e-4145-9e77-c36e1b32fbe4,,poste identifié — à qualifier,,"Poste confirmé trouvé via recherche web, à vérifier en détail avant candidature."
2026-09-20,Djamo,Creative Director / Brand Lead (cible),afrique_francophone,recherche web,https://careers.djamo.com/p/849d2bc52a18-senior-brand-communication-manager,,CV/lettre prêts — à relire et envoyer,,Poste réel trouvé : Senior Brand & Communication Manager. CV/lettre prêts.
2026-09-20,Julaya,Creative Director / Brand Lead (cible),afrique_francophone,recherche web,,,CV/lettre prêts — à relire et envoyer,,Candidature spontanée (pas de poste ouvert trouvé). CV/lettre prêts.
2026-09-20,CinetPay,Creative Director / Brand Lead (cible),afrique_francophone,recherche web,,,CV/lettre prêts — à relire et envoyer,,Candidature spontanée (pas de poste ouvert trouvé). CV/lettre prêts.
2026-09-20,Gozem,Creative Director / Brand Lead (cible),afrique_francophone,recherche web,,,entreprise cible — à explorer,,"Super-app mobilité/fintech, Togo"
2026-09-20,Jumia,Creative Director / Brand Lead (cible),afrique_francophone,recherche web,,,entreprise cible — à explorer,,E-commerce panafricain
2026-09-20,Orange Côte d'Ivoire / Orange Money,Creative Director / Brand Lead (cible),afrique_francophone,recherche web,,,entreprise cible — à explorer,,Grand groupe telecom/fintech
2026-09-20,TBWA Afrique,Creative Director / Brand Lead (cible),afrique_francophone,recherche web,,,entreprise cible — à explorer,,"Réseau agence, bureaux Abidjan/Dakar/Casablanca"
2026-09-20,Qonto,Creative Director / Brand Lead (cible),europe_francophone,recherche web,,,CV/lettre prêts — à relire et envoyer,,Candidature spontanée (pas de poste de direction créative ouvert trouvé). CV/lettre prêts.
2026-09-20,Alan,Creative Director / Brand Lead (cible),europe_francophone,recherche web,,,entreprise cible — à explorer,,"Assurance santé tech France, marque design-driven"
2026-09-20,Swile,Creative Director / Brand Lead (cible),europe_francophone,recherche web,,,entreprise cible — à explorer,,Fintech RH France
2026-09-20,Spendesk,Creative Director / Brand Lead (cible),europe_francophone,recherche web,,,CV/lettre prêts — à relire et envoyer,,Candidature spontanée (pas de poste de direction créative ouvert trouvé). CV/lettre prêts.
2026-09-20,Doctolib,Creative Director / Brand Lead (cible),europe_francophone,recherche web,,,entreprise cible — à explorer,,"Healthtech France, équipe créative interne"
2026-09-20,Revolut,Creative Director / Brand Lead (cible),europe_anglophone,recherche web,,,entreprise cible — à explorer,,"Fintech UK, marque très créative"
2026-09-20,Wise,Creative Director / Brand Lead (cible),europe_anglophone,recherche web,,,entreprise cible — à explorer,,"Fintech UK, brand-driven"
2026-09-20,Ledger,Head of Brand Design,europe_francophone,recherche web,https://startup.jobs/head-of-brand-design-ledger-3573382,,CV/lettre prêts — à relire et envoyer,,"Crypto/fintech française, scope clairement Director-level malgré le titre Head of."
2026-09-20,Sorare,Web3 Head of Design,europe_francophone,recherche web,https://sorare.com/careers,,CV/lettre prêts — à relire et envoyer,,"Fourchette salariale trouvée non fiable (source tierce, 2K-50K). Ecart honnête assumé: pas d'experience Web3/gaming. Verifier annonce complete avant tout."
2026-09-20,PayFit,Head of Brand & Communications,europe_francophone,recherche web,https://careers.payfit.com/jobs/7412638-head-of-brand-communication,,CV/lettre prêts — à relire et envoyer,,"Rattache au CMO, scope multi-marches europeens. Bon signal de seniorite."
